epoch,accuracy,loss,lr,val_accuracy,val_loss
37,0.9035214781761169,0.3297596871852875,4.6875e-06,0.8388683795928955,0.6753413677215576
38,0.9042450785636902,0.3441677391529083,2.34375e-06,0.8400983810424805,0.6797077059745789
39,0.9073805809020996,0.32854148745536804,2.34375e-06,0.8437884449958801,0.6550318002700806
40,0.9042450785636902,0.32265210151672363,2.34375e-06,0.8413284420967102,0.6655102968215942
41,0.9088277816772461,0.3191978335380554,2.34375e-06,0.8437884449958801,0.6545881032943726
42,0.9083454012870789,0.31998977065086365,2.34375e-06,0.8437884449958801,0.6599668860435486
43,0.9102749824523926,0.307925283908844,1.171875e-06,0.8431734442710876,0.6631296277046204
44,0.9059334397315979,0.3287450969219208,1.171875e-06,0.8437884449958801,0.6577597260475159
45,0.9034008979797363,0.3109757900238037,1.171875e-06,0.8444034457206726,0.6506957411766052
46,0.9014713168144226,0.3324710428714752,1.171875e-06,0.8437884449958801,0.6609416007995605
47,0.9025566577911377,0.328549861907959,1.171875e-06,0.8431734442710876,0.6494919061660767
48,0.9060540199279785,0.33390313386917114,1e-06,0.8456334471702576,0.6625356674194336
49,0.9038832783699036,0.3332425653934479,1e-06,0.8437884449958801,0.651160717010498
50,0.9073805809020996,0.3187751770019531,1e-06,0.8419434428215027,0.6646910309791565
51,0.9044862389564514,0.32650938630104065,1e-06,0.8437884449958801,0.6450177431106567
52,0.9085865616798401,0.3264005184173584,1e-06,0.8431734442710876,0.6645919680595398
53,0.9071394205093384,0.32609426975250244,1e-06,0.8437884449958801,0.6547818779945374
54,0.9062952399253845,0.3220977187156677,1e-06,0.8450184464454651,0.6606667041778564
55,0.9085865616798401,0.31976205110549927,1e-06,0.8444034457206726,0.6591354012489319
56,0.9070188403129578,0.3285280168056488,1e-06,0.8425584435462952,0.6626341342926025
57,0.9106367826461792,0.3005787134170532,1e-06,0.8425584435462952,0.6586213707923889
58,0.9049686193466187,0.3300619125366211,1e-06,0.8444034457206726,0.6430568099021912
59,0.9061746001243591,0.34893113374710083,1e-06,0.8431734442710876,0.6512777209281921
60,0.9058128595352173,0.3307873606681824,1e-06,0.8431734442710876,0.6646006107330322
61,0.9090690016746521,0.3088788092136383,1e-06,0.8425584435462952,0.6573560833930969
62,0.9081041812896729,0.3231477439403534,1e-06,0.8437884449958801,0.6536558270454407
63,0.9107573628425598,0.30980026721954346,1e-06,0.8444034457206726,0.6625801920890808
