epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.5083212852478027,1.2929757833480835,0.0003,0.6396064162254333,0.9526321291923523
1,0.666063666343689,0.9370684027671814,0.0003,0.6439114212989807,0.8866977095603943
2,0.7258803844451904,0.7957623600959778,0.0003,0.7958179712295532,0.5668429136276245
3,0.7557886838912964,0.7192431092262268,0.0003,0.723247230052948,0.6956371665000916
4,0.7863000631332397,0.6343318819999695,0.0003,0.8056580424308777,0.6243857741355896
5,0.7959479093551636,0.5947922468185425,0.0003,0.7134071588516235,0.7853584885597229
6,0.8165701627731323,0.5509627461433411,0.0003,0.7509225010871887,0.826161801815033
7,0.8264592289924622,0.5303890705108643,0.0003,0.8025830388069153,0.6370484232902527
8,0.8511818647384644,0.47383469343185425,0.00015,0.8031980395317078,0.651991605758667
9,0.8561263680458069,0.45572569966316223,0.00015,0.814268171787262,0.5917873978614807
10,0.8701157569885254,0.4260721206665039,0.00015,0.822263240814209,0.6150737404823303
11,0.8721659183502197,0.4172000288963318,0.00015,0.8161131739616394,0.6032651662826538
12,0.8742161393165588,0.41609740257263184,0.00015,0.7650676369667053,0.7953340411186218
13,0.8809695839881897,0.38580256700515747,7.5e-05,0.8339483141899109,0.5958026647567749
14,0.8879643082618713,0.3732909560203552,7.5e-05,0.8204181790351868,0.6874603629112244
15,0.8960443735122681,0.3500610888004303,7.5e-05,0.8204181790351868,0.6676846742630005
16,0.8945971727371216,0.3647508919239044,7.5e-05,0.8333333134651184,0.6312140226364136
17,0.8935118317604065,0.3703635334968567,7.5e-05,0.8296433091163635,0.6413056254386902
18,0.8890497088432312,0.3780090808868408,3.75e-05,0.8321033120155334,0.6344789862632751
19,0.8937529921531677,0.35643133521080017,3.75e-05,0.831488311290741,0.6331493854522705
20,0.8980945348739624,0.3359975814819336,3.75e-05,0.8388683795928955,0.6376826763153076
21,0.9009888768196106,0.3441225588321686,3.75e-05,0.829028308391571,0.6265711784362793
22,0.8990593552589417,0.3539416491985321,3.75e-05,0.8357933759689331,0.6361272931098938
23,0.9006271362304688,0.3503149747848511,1.875e-05,0.8357933759689331,0.6449788212776184
24,0.8988181352615356,0.33893850445747375,1.875e-05,0.8376383781433105,0.6353368759155273
25,0.9059334397315979,0.3372917175292969,1.875e-05,0.8376383781433105,0.6547203063964844
26,0.9015918970108032,0.3298748731613159,1.875e-05,0.838253378868103,0.6442932486534119
27,0.9002653360366821,0.33513256907463074,1.875e-05,0.8376383781433105,0.6508311629295349
28,0.9059334397315979,0.3163118362426758,9.375e-06,0.8345633745193481,0.6619451642036438
29,0.9067776203155518,0.32602161169052124,9.375e-06,0.8345633745193481,0.6744104027748108
30,0.9013506770133972,0.3244035840034485,9.375e-06,0.8370233774185181,0.6529387831687927
31,0.9032802581787109,0.32916659116744995,9.375e-06,0.8351783752441406,0.6618729829788208
32,0.9067776203155518,0.30996257066726685,9.375e-06,0.8351783752441406,0.6689245700836182
33,0.8978533744812012,0.337535560131073,4.6875e-06,0.840713381767273,0.6626034379005432
34,0.9053304195404053,0.32189369201660156,4.6875e-06,0.840713381767273,0.6744237542152405
35,0.9003859162330627,0.34142401814460754,4.6875e-06,0.8370233774185181,0.6681201457977295
36,0.9071394205093384,0.32146596908569336,4.6875e-06,0.8400983810424805,0.6683498024940491
